categoria,simbolo,nome_italiano,note,intervalli,commenti
triadi,C,Do maggiore,"C4, E4, G4",1 3 5,
triadi,Cm,Do minore,"C4, Eb4, G4",1 b3 5,
triadi,Caug,Do aumentato,"C4, E4, Ab4",1 3 #5,
triadi,Cdim,Do diminuito,"C4, Eb4, F#4",1 b3 b5,
triadi,Csus2,Do seconda sospesa,"C4, D4, G4",1 2 5,
triadi,Csus4,Do quarta sospesa,"C4, F4, G4",1 4 5,
quadriadi,C6,Do sesta,"C4, E4, G4, A4",1 3 5 6,
quadriadi,Cm6,Do minore sesta,"C4, Eb4, G4, A4",1 b3 5 6,
quadriadi,C7,Do settima (dominante),"C4, E4, G4, Bb4",1 3 5 b7,
quadriadi,Cmaj7,Do settima maggiore,"C4, E4, G4, B4",1 3 5 7,
quadriadi,Cm7,Do minore settima,"C4, Eb4, G4, Bb4",1 b3 5 b7,
quadriadi,Cm7b5,Do semidiminuito,"C4, Eb4, F#4, Bb4",1 b3 b5 b7,
quadriadi,Cm(maj7),Do minore settima maggiore,"C4, Eb4, G4, B4",1 b3 5 7,
quadriadi,Cmaj7#5,Do settima maggiore quinta aumentata,"C4, E4, Ab4, B4",1 3 #5 7,
quadriadi,C7#5,Do settima quinta aumentata,"C4, E4, Ab4, Bb4",1 3 #5 b7,
quadriadi,C7b5,Do settima quinta diminuita,"C4, E4, F#4, Bb4",1 3 b5 b7,
quadriadi,Cmaj7b5,Do settima maggiore quinta diminuita,"C4, E4, F#4, B4",1 3 b5 7,
quadriadi,Cdim(maj7),Do diminuito settima maggiore,"C4, Eb4, F#4, B4",1 b3 b5 7,
quadriadi,C7sus4,Do settima quarta sospesa,"C4, F4, G4, Bb4",1 4 5 b7,
estese,C9,Do nona (dominante),"C4, E4, G4, Bb4, D5",1 3 5 b7 9,
estese,Cmaj9,Do nona maggiore,"C4, E4, G4, B4, D5",1 3 5 7 9,
estese,Cm9,Do minore nona,"C4, Eb4, G4, Bb4, D5",1 b3 5 b7 9,
estese,C11,Do undicesima (dominante),"C4, E4, G4, Bb4, D5, F5",1 3 5 b7 9 11,
estese,Cm11,Do minore undicesima,"C4, Eb4, G4, Bb4, D5, F5",1 b3 5 b7 9 11,
estese,C13,Do tredicesima (dominante),"C4, E4, G4, Bb4, D5, A5",1 3 5 b7 9 13,
estese,Cmaj13,Do tredicesima maggiore,"C4, E4, G4, B4, D5, A5",1 3 5 7 9 13,
estese,C13sus4,Do tredicesima sospesa,"C4, F4, G4, Bb4, D5, A5",1 4 5 b7 9 13,
estese,C7b9,Do settima nona diminuita,"C4, E4, G4, Bb4, Db5",1 3 5 b7 b9,
estese,C7#9,Do settima nona aumentata,"C4, E4, G4, Bb4, Eb5",1 3 5 b7 #9,
estese,C7b9#5,Do settima nona dim. quinta aum.,"C4, E4, Ab4, Bb4, Db5",1 3 #5 b7 b9,
estese,C7b13,Do settima tredicesima diminuita,"C4, E4, G4, Bb4, Ab5",1 3 5 b7 b13,
