tipo_accordo,C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B
maggiore,C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B
minore,Cm,C#m,Dm,,Em,Fm,F#m,Gm,,Am,,Bm
aumentato,Caug,C#aug,Daug,Ebaug,Eaug,Faug,F#aug,Gaug,Abaug,Aaug,Bbaug,Baug
diminuito,Cdim,C#dim,Ddim,Ebdim,Edim,Fdim,F#dim,Gdim,Abdim,Adim,Bbdim,Bdim
sus2,Csus2,C#sus2,Dsus2,Ebsus2,Esus2,Fsus2,F#sus2,Gsus2,Absus2,Asus2,Bbsus2,Bsus2
sus4,Csus4,C#sus4,Dsus4,Ebsus4,Esus4,Fsus4,F#sus4,Gsus4,Absus4,Asus4,Bbsus4,Bsus4
sesta,C6,C#6,D6,Eb6,E6,F6,F#6,G6,Ab6,A6,Bb6,B6
minore_sesta,Cm6,C#m6,Dm6,,Em6,Fm6,F#m6,Gm6,,Am6,,Bm6
settima,C7,C#7,D7,Eb7,E7,F7,F#7,G7,Ab7,A7,Bb7,B7
settima_maggiore,Cmaj7,C#maj7,Dmaj7,Ebmaj7,Emaj7,Fmaj7,F#maj7,Gmaj7,Abmaj7,Amaj7,Bbmaj7,Bmaj7
minore_settima,Cm7,C#m7,Dm7,,Em7,Fm7,F#m7,Gm7,,Am7,,Bm7
semidiminuito,Cm7b5,C#m7b5,Dm7b5,Ebm7b5,Em7b5,Fm7b5,F#m7b5,Gm7b5,Abm7b5,Am7b5,Bbm7b5,Bm7b5
minore_maj7,Cm(maj7),C#m(maj7),Dm(maj7),,Em(maj7),Fm(maj7),F#m(maj7),Gm(maj7),,Am(maj7),,Bm(maj7)
maj7_quinta_aum,Cmaj7#5,C#maj7#5,Dmaj7#5,Ebmaj7#5,Emaj7#5,Fmaj7#5,F#maj7#5,Gmaj7#5,Abmaj7#5,Amaj7#5,Bbmaj7#5,Bmaj7#5
settima_quinta_aum,C7#5,C#7#5,D7#5,Eb7#5,E7#5,F7#5,F#7#5,G7#5,Ab7#5,A7#5,Bb7#5,B7#5
settima_quinta_dim,C7b5,C#7b5,D7b5,Eb7b5,E7b5,F7b5,F#7b5,G7b5,Ab7b5,A7b5,Bb7b5,B7b5
maj7_quinta_dim,Cmaj7b5,C#maj7b5,Dmaj7b5,Ebmaj7b5,Emaj7b5,Fmaj7b5,F#maj7b5,Gmaj7b5,Abmaj7b5,Amaj7b5,Bbmaj7b5,Bmaj7b5
dim_maj7,Cdim(maj7),C#dim(maj7),Ddim(maj7),Ebdim(maj7),Edim(maj7),Fdim(maj7),F#dim(maj7),Gdim(maj7),Abdim(maj7),Adim(maj7),Bbdim(maj7),Bdim(maj7)
settima_sus4,C7sus4,C#7sus4,D7sus4,Eb7sus4,E7sus4,F7sus4,F#7sus4,G7sus4,Ab7sus4,A7sus4,Bb7sus4,B7sus4
nona,C9,C#9,D9,Eb9,E9,F9,F#9,G9,Ab9,A9,Bb9,B9
nona_maggiore,Cmaj9,C#maj9,Dmaj9,Ebmaj9,Emaj9,Fmaj9,F#maj9,Gmaj9,Abmaj9,Amaj9,Bbmaj9,Bmaj9
minore_nona,Cm9,C#m9,Dm9,,Em9,Fm9,F#m9,Gm9,,Am9,,Bm9
undicesima,C11,C#11,D11,Eb11,E11,F11,F#11,G11,Ab11,A11,Bb11,B11
minore_undicesima,Cm11,C#m11,Dm11,,Em11,Fm11,F#m11,Gm11,,Am11,,Bm11
tredicesima,C13,C#13,D13,Eb13,E13,F13,F#13,G13,Ab13,A13,Bb13,B13
tredicesima_maggiore,Cmaj13,C#maj13,Dmaj13,Ebmaj13,Emaj13,Fmaj13,F#maj13,Gmaj13,Abmaj13,Amaj13,Bbmaj13,Bmaj13
tredicesima_sus4,C13sus4,C#13sus4,D13sus4,Eb13sus4,E13sus4,F13sus4,F#13sus4,G13sus4,Ab13sus4,A13sus4,Bb13sus4,B13sus4
settima_b9,C7b9,C#7b9,D7b9,Eb7b9,E7b9,F7b9,F#7b9,G7b9,Ab7b9,A7b9,Bb7b9,B7b9
settima_sharp9,C7#9,C#7#9,D7#9,Eb7#9,E7#9,F7#9,F#7#9,G7#9,Ab7#9,A7#9,Bb7#9,B7#9
settima_b9_sharp5,C7b9#5,C#7b9#5,D7b9#5,Eb7b9#5,E7b9#5,F7b9#5,F#7b9#5,G7b9#5,Ab7b9#5,A7b9#5,Bb7b9#5,B7b9#5
settima_b13,C7b13,C#7b13,D7b13,Eb7b13,E7b13,F7b13,F#7b13,G7b13,Ab7b13,A7b13,Bb7b13,B7b13
